class,precision,recall,f1,support
Tomato_Bacterial_spot,0.9750778816199377,0.9811912225705329,0.978125,638
Tomato_Early_blight,0.9454545454545454,0.8666666666666667,0.9043478260869565,300
Tomato_Late_blight,0.9527972027972028,0.9527972027972028,0.9527972027972028,572
Tomato_Leaf_Mold,0.9681978798586572,0.958041958041958,0.9630931458699473,286
Tomato_Septoria_leaf_spot,0.9591078066914498,0.9717514124293786,0.9653882132834425,531
Tomato_Spider_mites_Two_spotted_spider_mite,0.9585798816568047,0.9662027833001988,0.9623762376237623,503
Tomato__Target_Spot,0.9395348837209302,0.9596199524940617,0.9494712103407755,421
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9843260188087775,0.9781931464174455,0.98125,963
Tomato__Tomato_mosaic_virus,0.9734513274336283,0.9821428571428571,0.9777777777777777,112
Tomato_healthy,0.9753086419753086,0.9937106918238994,0.9844236760124611,477
