path,class,group_id,kind
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00416648-be6e-4bd4-bc8d-82f43f8a7240,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00639d29-2d1a-4fcf-9bd3-a2b3109c74c4,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05___GCREC_Bact.Sp 6326__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00728f4d-83a0-49f1-87f8-374646fcda05,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/00b7e89a-e129-4576-b51f-48923888bff9,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01375198-62af-4c40-bddf-f3c11107200b,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/014b58ae-091b-408a-ab4a-5a780cd1c3f3,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638__aug005.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01a46cb5-d354-4f59-868e-e56186701541,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984__orig.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f,orig
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984__aug001.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984__aug002.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984__aug003.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f,aug
dataset/plantvillage_tomato/aug/Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984__aug004.jpg,Tomato_Bacterial_spot,Tomato_Bacterial_spot/01d7f4fe-793f-4a9b-bc8b-8aa05200984f,aug
